online_order,location,name
No,BTM,1763
No,Banashankari,397
No,Banaswadi,302
No,Bannerghatta Road,685
No,Basavanagudi,243
No,Bellandur,517
No,Brigade Road,552
No,Brookefield,239
No,Church Street,226
No,Commercial Street,228
No,Cunningham Road,168
No,Domlur,247
No,Ejipura,214
No,Electronic City,676
No,Frazer Town,287
No,HSR,584
No,Indiranagar,697
No,JP Nagar,911
No,Jayanagar,552
No,Kalyan Nagar,350
No,Kammanahalli,264
No,Koramangala 1st Block,384
No,Koramangala 4th Block,459
No,Koramangala 5th Block,866
No,Koramangala 6th Block,445
No,Koramangala 7th Block,389
No,Lavelle Road,315
No,MG Road,520
No,Malleshwaram,309
No,Marathahalli,701
No,New BEL Road,255
No,Old Airport Road,221
No,Rajajinagar,286
No,Residency Road,424
No,Richmond Road,557
No,Sarjapur Road,323
No,Shanti Nagar,289
No,Shivajinagar,354
No,St. Marks Road,176
No,Ulsoor,389
No,Whitefield,986
No,others,2064
Yes,BTM,3293
Yes,Banashankari,505
Yes,Banaswadi,338
Yes,Bannerghatta Road,924
Yes,Basavanagudi,441
Yes,Bellandur,751
Yes,Brigade Road,658
Yes,Brookefield,417
Yes,Church Street,340
Yes,Commercial Street,142
Yes,Cunningham Road,322
Yes,Domlur,235
Yes,Ejipura,219
Yes,Electronic City,570
Yes,Frazer Town,427
Yes,HSR,1910
Yes,Indiranagar,1329
Yes,JP Nagar,1307
Yes,Jayanagar,1364
Yes,Kalyan Nagar,491
Yes,Kammanahalli,375
Yes,Koramangala 1st Block,852
Yes,Koramangala 4th Block,558
Yes,Koramangala 5th Block,1613
Yes,Koramangala 6th Block,682
Yes,Koramangala 7th Block,785
Yes,Lavelle Road,203
Yes,MG Road,373
Yes,Malleshwaram,412
Yes,Marathahalli,1104
Yes,New BEL Road,389
Yes,Old Airport Road,216
Yes,Rajajinagar,305
Yes,Residency Road,247
Yes,Richmond Road,246
Yes,Sarjapur Road,724
Yes,Shanti Nagar,219
Yes,Shivajinagar,144
Yes,St. Marks Road,167
Yes,Ulsoor,622
Yes,Whitefield,1119
Yes,others,2890
